Date	DATE_KEY	Month	Year	Weekday	Weekday No	Day of Month	Month of Year	Quarter	Week of Month	Week of Year	Month No
23/01/2018 12:00:00 AM	20180123	Jan	2018	Tuesday	2	23	Monday, January 1, 2018	1	4	4	1
24/01/2018 12:00:00 AM	20180124	Jan	2018	Wednesday	3	24	Monday, January 1, 2018	1	4	4	1
25/01/2018 12:00:00 AM	20180125	Jan	2018	Thursday	4	25	Monday, January 1, 2018	1	4	4	1
26/01/2018 12:00:00 AM	20180126	Jan	2018	Friday	5	26	Monday, January 1, 2018	1	4	4	1
27/01/2018 12:00:00 AM	20180127	Jan	2018	Saturday	6	27	Monday, January 1, 2018	1	4	4	1
28/01/2018 12:00:00 AM	20180128	Jan	2018	Sunday	7	28	Monday, January 1, 2018	1	4	4	1
29/01/2018 12:00:00 AM	20180129	Jan	2018	Monday	1	29	Monday, January 1, 2018	1	5	5	1
30/01/2018 12:00:00 AM	20180130	Jan	2018	Tuesday	2	30	Monday, January 1, 2018	1	5	5	1
31/01/2018 12:00:00 AM	20180131	Jan	2018	Wednesday	3	31	Monday, January 1, 2018	1	5	5	1
01/02/2018 12:00:00 AM	20180201	Feb	2018	Thursday	4	1	Thursday, February 1, 2018	1	1	5	2
02/02/2018 12:00:00 AM	20180202	Feb	2018	Friday	5	2	Thursday, February 1, 2018	1	1	5	2
03/02/2018 12:00:00 AM	20180203	Feb	2018	Saturday	6	3	Thursday, February 1, 2018	1	1	5	2
04/02/2018 12:00:00 AM	20180204	Feb	2018	Sunday	7	4	Thursday, February 1, 2018	1	1	5	2
05/02/2018 12:00:00 AM	20180205	Feb	2018	Monday	1	5	Thursday, February 1, 2018	1	1	6	2
06/02/2018 12:00:00 AM	20180206	Feb	2018	Tuesday	2	6	Thursday, February 1, 2018	1	1	6	2
07/02/2018 12:00:00 AM	20180207	Feb	2018	Wednesday	3	7	Thursday, February 1, 2018	1	1	6	2
08/02/2018 12:00:00 AM	20180208	Feb	2018	Thursday	4	8	Thursday, February 1, 2018	1	2	6	2
09/02/2018 12:00:00 AM	20180209	Feb	2018	Friday	5	9	Thursday, February 1, 2018	1	2	6	2
10/02/2018 12:00:00 AM	20180210	Feb	2018	Saturday	6	10	Thursday, February 1, 2018	1	2	6	2
11/02/2018 12:00:00 AM	20180211	Feb	2018	Sunday	7	11	Thursday, February 1, 2018	1	2	6	2
12/02/2018 12:00:00 AM	20180212	Feb	2018	Monday	1	12	Thursday, February 1, 2018	1	2	7	2
13/02/2018 12:00:00 AM	20180213	Feb	2018	Tuesday	2	13	Thursday, February 1, 2018	1	2	7	2
14/02/2018 12:00:00 AM	20180214	Feb	2018	Wednesday	3	14	Thursday, February 1, 2018	1	2	7	2
15/02/2018 12:00:00 AM	20180215	Feb	2018	Thursday	4	15	Thursday, February 1, 2018	1	3	7	2
16/02/2018 12:00:00 AM	20180216	Feb	2018	Friday	5	16	Thursday, February 1, 2018	1	3	7	2
17/02/2018 12:00:00 AM	20180217	Feb	2018	Saturday	6	17	Thursday, February 1, 2018	1	3	7	2
18/02/2018 12:00:00 AM	20180218	Feb	2018	Sunday	7	18	Thursday, February 1, 2018	1	3	7	2
19/02/2018 12:00:00 AM	20180219	Feb	2018	Monday	1	19	Thursday, February 1, 2018	1	3	8	2
20/02/2018 12:00:00 AM	20180220	Feb	2018	Tuesday	2	20	Thursday, February 1, 2018	1	3	8	2
21/02/2018 12:00:00 AM	20180221	Feb	2018	Wednesday	3	21	Thursday, February 1, 2018	1	3	8	2
22/02/2018 12:00:00 AM	20180222	Feb	2018	Thursday	4	22	Thursday, February 1, 2018	1	4	8	2
23/02/2018 12:00:00 AM	20180223	Feb	2018	Friday	5	23	Thursday, February 1, 2018	1	4	8	2
24/02/2018 12:00:00 AM	20180224	Feb	2018	Saturday	6	24	Thursday, February 1, 2018	1	4	8	2
25/02/2018 12:00:00 AM	20180225	Feb	2018	Sunday	7	25	Thursday, February 1, 2018	1	4	8	2
